,species_name,kingdom,subkingdom,infrakingdom,phylum,subphylum,infraphylum,superclass,class,superorder,order,suborder,family,subfamily,genus,species,tribe,superfamily,na,wormsid_kingdom,wormsid_subkingdom,wormsid_infrakingdom,wormsid_phylum,wormsid_subphylum,wormsid_infraphylum,wormsid_superclass,wormsid_class,wormsid_superorder,wormsid_order,wormsid_suborder,wormsid_family,wormsid_subfamily,wormsid_genus,wormsid_species,wormsid_tribe,wormsid_superfamily,wormsid_na,species_ID
73,Channa striata,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Channoidei,Channidae,NA,Channa,Channa striata,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,162835,166661,NA,166662,166667,NA,NA,NA,SP103
74,Cyprinus carpio,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Cyprinidae,NA,Cyprinus,Cyprinus carpio,NA,Cyprinoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,162846,NA,163342,NA,163343,163344,NA,638796,NA,SP104
75,Centropristis striata,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Serranidae,Serraninae,Centropristis,Centropristis striata,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,167674,643089,167686,167687,NA,NA,NA,SP105
76,Oreochromis mossambicus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Cichlidae,NA,Oreochromis,Oreochromis mossambicus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,170476,169770,NA,170014,170015,NA,NA,NA,SP106
77,Chelon labrosus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Mugiliformes,NA,Mugilidae,NA,Chelon,Chelon labrosus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,553132,NA,170333,NA,170363,170371,NA,NA,NA,SP107
78,Trematomus bernacchii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Nototheniidae,NA,Trematomus,Trematomus bernacchii,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,171099,171103,NA,642501,643036,NA,NA,NA,SP108
79,Trematomus pennellii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Nototheniidae,NA,Trematomus,Trematomus pennellii,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,171099,171103,NA,642501,643043,NA,NA,NA,SP109
80,Lophius litulon,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Paracanthopterygii,Lophiiformes,Lophioidei,Lophiidae,NA,Lophius,Lophius litulon,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,164385,164495,164496,164497,NA,164498,690538,NA,NA,NA,SP110
81,Dascyllus melanurus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Pomacentridae,NA,Dascyllus,Dascyllus melanurus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,170476,170044,NA,170121,170127,NA,NA,NA,SP111
82,Chromis atripectoralis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Pomacentridae,NA,Chromis,Chromis atripectoralis,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,170476,170044,NA,170079,170103,NA,NA,NA,SP112
83,Pomacentrus moluccensis,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Pomacentridae,NA,Pomacentrus,Pomacentrus moluccensis,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,170476,170044,NA,170150,615461,NA,NA,NA,SP113
84,Zoramia leptacanthus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,NA,Kurtiformes,NA,Apogonidae,Apogoninae,Zoramia,Zoramia leptacanthus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP114
85,Cheilodipterus quinquelineatus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Percoidei,Apogonidae,Apogoninae,Cheilodipterus,Cheilodipterus quinquelineatus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,167641,168196,642031,168288,168291,NA,NA,NA,SP115
86,Abramis brama,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Leuciscidae,Leuciscinae,Abramis,Abramis brama,NA,Cyprinoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,162846,NA,1198935,1198940,163665,163666,NA,638796,NA,SP116
87,Oreochromis esculentus,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Labroidei,Cichlidae,NA,Oreochromis,Oreochromis esculentus,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,170476,169770,NA,170014,648840,NA,NA,NA,SP117
88,Catostomus commersonii,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Ostariophysi,Cypriniformes,NA,Catostomidae,Catostominae,Catostomus,Catostomus commersonii,Catostomini,Cobitoidea,NA,202423,914154,914156,158852,331030,914179,161061,161105,162845,162846,NA,163892,638809,163893,553273,638849,638797,NA,SP118
89,Salvelinus malma,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Protacanthopterygii,Salmoniformes,NA,Salmonidae,Salmoninae,Salvelinus,Salvelinus malma,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,161928,161929,NA,161931,623286,161999,162000,NA,NA,NA,SP119
90,Poecilia reticulata,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Cyprinodontiformes,Cyprinodontoidei,Poeciliidae,Poeciliinae,Poecilia,Poecilia reticulata,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,553130,165614,165876,646790,165897,165903,NA,NA,NA,SP120
91,Gymnodraco acuticeps,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Actinopterygii,Teleostei,Acanthopterygii,Perciformes,Notothenioidei,Bathydraconidae,NA,Gymnodraco,Gymnodraco acuticeps,NA,NA,NA,202423,914154,914156,158852,331030,914179,161061,161105,166082,167640,171099,171110,NA,171114,642589,NA,NA,NA,SP121
